"[u'causes', u'methods', u'ipta', u'formulate', u'safety', u'especially', u'lot', u'true', u'buntar', u'disabled']","[u'fallen', u'borrowed', u'secure', u'activities', u'badly', u'armed_forces', u'challenges', u'ops_cantas', u'charges', u'confiscated']","[u'clearly', u'studies', u'drugs', u'single', u'saved', u'delivered', u'medium', u'rm', u'services', u'actually']","[u'leaving', u'to', u'reports', u'granting', u'explain', u'holders', u'businesses', u'obstacles', u'sold', u'actions']","[u'reached', u'benefit', u'effectively', u'disasters', u'transferred', u'deemed', u'products', u'preparedness', u'belaga', u'successful']","[u'figure', u'period', u'settled', u'johor', u'facing', u'establishment', u'what', u'secondary', u'bankrupt', u'rendered']","[u'if', u'imposed', u'india', u'involvement', u'laws', u'involving', u'express', u'implementation_gst', u'peninsula', u'granting']","[u'sold', u'police_officers', u'please', u'island', u'bonds', u'industrial', u'religious', u'look', u'retailers', u'study']","[u'cancer', u'bangladeshi_workers', u'decision', u'shown', u'participated', u'possibility', u'areas', u'growing', u'ec', u'monitored']","[u'strengthen', u'proton', u'enter', u'competitiveness', u'school', u'curbing', u'issue', u'pilot', u'overall', u'ban']"
"[u'higher', u'person', u'immigrants', u'far', u'created', u'state', u'using', u'allowing', u'search', u'follow']","[u'goals', u'far', u'created', u'person', u'immigrants', u'state', u'regards', u'officials', u'live', u'public_universities']","[u'created', u'far', u'goals', u'higher', u'search', u'subjects', u'immigrants', u'using', u'state', u'practiced']","[u'created', u'goals', u'far', u'higher', u'using', u'search', u'person', u'state', u'public_universities', u'selecting']","[u'goals', u'higher', u'search', u'created', u'far', u'immigrants', u'state', u'allowing', u'selecting', u'repay']","[u'created', u'goals', u'immigrants', u'facing', u'far', u'selecting', u'higher', u'follow', u'subjects', u'allowing']","[u'created', u'goals', u'appropriate', u'live', u'far', u'state', u'allowing', u'regards', u'public_universities', u'immigrants']","[u'far', u'created', u'higher', u'using', u'repay', u'immigrants', u'live', u'state', u'selecting', u'goals']","[u'far', u'state', u'created', u'goals', u'higher', u'live', u'using', u'immigrants', u'newly', u'search']","[u'goals', u'created', u'higher', u'state', u'follow', u'facing', u'far', u'search', u'judges', u'using']"
"[u'higher', u'far', u'created', u'using', u'state', u'immigrants', u'goals', u'search', u'allowing', u'facing']","[u'far', u'goals', u'created', u'state', u'immigrants', u'search', u'using', u'live', u'higher', u'repay']","[u'created', u'far', u'goals', u'search', u'higher', u'state', u'using', u'immigrants', u'regards', u'live']","[u'created', u'far', u'goals', u'using', u'higher', u'state', u'search', u'immigrants', u'live', u'provides']","[u'goals', u'far', u'created', u'higher', u'search', u'immigrants', u'state', u'using', u'allowing', u'live']","[u'created', u'goals', u'far', u'immigrants', u'facing', u'higher', u'using', u'state', u'search', u'follow']","[u'created', u'far', u'goals', u'state', u'live', u'appropriate', u'higher', u'using', u'search', u'allowing']","[u'far', u'created', u'higher', u'using', u'state', u'immigrants', u'goals', u'live', u'repay', u'search']","[u'far', u'created', u'state', u'higher', u'goals', u'using', u'immigrants', u'live', u'search', u'public_universities']","[u'created', u'goals', u'far', u'higher', u'state', u'using', u'search', u'immigrants', u'facing', u'follow']"
"[u'far', u'using', u'higher', u'created', u'state', u'goals', u'immigrants', u'facing', u'search', u'public_universities']","[u'far', u'created', u'state', u'goals', u'using', u'immigrants', u'higher', u'search', u'live', u'facing']","[u'far', u'created', u'higher', u'using', u'goals', u'state', u'search', u'immigrants', u'live', u'regards']","[u'created', u'far', u'using', u'goals', u'state', u'higher', u'immigrants', u'search', u'live', u'provides']","[u'far', u'created', u'goals', u'state', u'using', u'higher', u'immigrants', u'search', u'live', u'facing']","[u'created', u'far', u'goals', u'state', u'using', u'higher', u'immigrants', u'facing', u'live', u'search']","[u'created', u'far', u'state', u'goals', u'using', u'live', u'higher', u'appropriate', u'allowing', u'search']","[u'far', u'created', u'state', u'higher', u'using', u'goals', u'immigrants', u'live', u'search', u'maintain']","[u'created', u'far', u'state', u'using', u'higher', u'goals', u'immigrants', u'live', u'regards', u'facing']","[u'created', u'far', u'goals', u'state', u'using', u'higher', u'search', u'immigrants', u'facing', u'live']"
"[u'far', u'higher', u'using', u'created', u'state', u'immigrants', u'facing', u'live', u'search', u'goals']","[u'far', u'created', u'state', u'using', u'higher', u'goals', u'live', u'immigrants', u'search', u'facing']","[u'far', u'created', u'higher', u'using', u'state', u'search', u'goals', u'live', u'immigrants', u'facing']","[u'created', u'far', u'using', u'higher', u'state', u'goals', u'live', u'immigrants', u'search', u'maintain']","[u'far', u'created', u'state', u'using', u'higher', u'immigrants', u'goals', u'search', u'live', u'facing']","[u'far', u'created', u'state', u'higher', u'using', u'goals', u'immigrants', u'live', u'facing', u'search']","[u'far', u'created', u'state', u'using', u'higher', u'live', u'goals', u'immigrants', u'facing', u'search']","[u'far', u'created', u'state', u'using', u'higher', u'live', u'immigrants', u'goals', u'search', u'maintain']","[u'far', u'created', u'state', u'using', u'higher', u'live', u'goals', u'immigrants', u'facing', u'ensure']","[u'created', u'far', u'using', u'state', u'higher', u'goals', u'facing', u'live', u'immigrants', u'search']"
"[u'far', u'using', u'higher', u'state', u'created', u'facing', u'live', u'immigrants', u'ensure', u'maintain']","[u'far', u'created', u'state', u'using', u'higher', u'live', u'goals', u'ensure', u'facing', u'immigrants']","[u'far', u'created', u'using', u'state', u'higher', u'live', u'search', u'goals', u'facing', u'ensure']","[u'created', u'far', u'using', u'state', u'higher', u'live', u'immigrants', u'goals', u'maintain', u'search']","[u'far', u'created', u'state', u'using', u'higher', u'immigrants', u'goals', u'facing', u'live', u'maintain']","[u'far', u'created', u'state', u'using', u'higher', u'live', u'facing', u'immigrants', u'goals', u'increase']","[u'far', u'created', u'state', u'using', u'higher', u'live', u'facing', u'immigrants', u'ensure', u'goals']","[u'far', u'created', u'state', u'using', u'higher', u'live', u'immigrants', u'ensure', u'facing', u'maintain']","[u'far', u'state', u'created', u'using', u'higher', u'live', u'facing', u'ensure', u'goals', u'immigrants']","[u'far', u'created', u'using', u'state', u'higher', u'live', u'facing', u'goals', u'immigrants', u'maintain']"
"[u'far', u'state', u'higher', u'using', u'created', u'facing', u'live', u'ensure', u'increase', u'institutions']","[u'far', u'state', u'created', u'using', u'higher', u'live', u'ensure', u'facing', u'increase', u'goals']","[u'far', u'state', u'created', u'using', u'higher', u'ensure', u'live', u'facing', u'increase', u'institutions']","[u'far', u'created', u'using', u'state', u'higher', u'live', u'facing', u'ensure', u'maintain', u'institutions']","[u'far', u'state', u'using', u'created', u'higher', u'facing', u'live', u'ensure', u'maintain', u'goals']","[u'far', u'state', u'using', u'created', u'higher', u'live', u'facing', u'immigrants', u'increase', u'billion']","[u'far', u'state', u'created', u'using', u'higher', u'live', u'facing', u'ensure', u'increase', u'billion']","[u'far', u'using', u'state', u'created', u'higher', u'live', u'ensure', u'facing', u'increase', u'maintain']","[u'far', u'state', u'using', u'created', u'higher', u'live', u'facing', u'ensure', u'increase', u'institutions']","[u'far', u'using', u'state', u'created', u'higher', u'facing', u'live', u'ensure', u'maintain', u'goals']"
"[u'far', u'state', u'using', u'higher', u'created', u'facing', u'ensure', u'increase', u'live', u'including']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'live', u'facing', u'increase', u'plan']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'increase', u'live', u'facing', u'institutions']","[u'far', u'using', u'state', u'created', u'higher', u'ensure', u'facing', u'live', u'increase', u'maintain']","[u'far', u'state', u'using', u'higher', u'created', u'ensure', u'facing', u'live', u'increase', u'maintain']","[u'far', u'state', u'using', u'created', u'higher', u'facing', u'live', u'increase', u'ensure', u'including']","[u'far', u'state', u'using', u'created', u'higher', u'live', u'facing', u'ensure', u'increase', u'billion']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'live', u'facing', u'increase', u'maintain']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'facing', u'live', u'increase', u'plan']","[u'far', u'state', u'using', u'created', u'higher', u'facing', u'live', u'ensure', u'institutions', u'increase']"
"[u'far', u'state', u'using', u'higher', u'created', u'ensure', u'facing', u'increase', u'live', u'plan']","[u'far', u'state', u'using', u'created', u'ensure', u'higher', u'facing', u'increase', u'live', u'plan']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'increase', u'facing', u'live', u'plan']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'facing', u'increase', u'live', u'plan']","[u'far', u'state', u'using', u'higher', u'created', u'ensure', u'facing', u'increase', u'live', u'maintain']","[u'far', u'state', u'using', u'higher', u'created', u'ensure', u'facing', u'increase', u'live', u'including']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'facing', u'live', u'increase', u'plan']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'increase', u'facing', u'live', u'including']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'facing', u'increase', u'live', u'plan']","[u'far', u'state', u'using', u'created', u'higher', u'facing', u'ensure', u'live', u'increase', u'plan']"
"[u'far', u'state', u'using', u'higher', u'ensure', u'created', u'facing', u'increase', u'plan', u'including']","[u'far', u'state', u'using', u'created', u'ensure', u'higher', u'facing', u'increase', u'plan', u'live']","[u'far', u'state', u'using', u'ensure', u'higher', u'created', u'increase', u'facing', u'plan', u'live']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'facing', u'increase', u'plan', u'live']","[u'far', u'state', u'using', u'ensure', u'higher', u'created', u'increase', u'facing', u'plan', u'live']","[u'far', u'state', u'using', u'higher', u'ensure', u'created', u'increase', u'facing', u'live', u'including']","[u'far', u'state', u'using', u'higher', u'ensure', u'created', u'facing', u'increase', u'plan', u'live']","[u'far', u'state', u'using', u'higher', u'ensure', u'created', u'increase', u'facing', u'including', u'plan']","[u'far', u'state', u'using', u'ensure', u'higher', u'created', u'facing', u'increase', u'plan', u'live']","[u'far', u'state', u'using', u'created', u'higher', u'ensure', u'facing', u'plan', u'increase', u'live']"
"[u'far', u'state', u'using', u'ensure', u'higher', u'increase', u'facing', u'created', u'plan', u'including']","[u'far', u'state', u'using', u'ensure', u'higher', u'created', u'increase', u'facing', u'plan', u'including']","[u'far', u'state', u'using', u'ensure', u'higher', u'increase', u'created', u'facing', u'plan', u'including']","[u'far', u'state', u'using', u'ensure', u'higher', u'created', u'increase', u'facing', u'plan', u'including']","[u'far', u'state', u'using', u'ensure', u'increase', u'higher', u'created', u'facing', u'plan', u'including']","[u'far', u'state', u'using', u'ensure', u'higher', u'increase', u'created', u'facing', u'including', u'plan']","[u'far', u'state', u'using', u'ensure', u'higher', u'created', u'increase', u'facing', u'plan', u'including']","[u'far', u'state', u'using', u'ensure', u'higher', u'increase', u'created', u'facing', u'including', u'plan']","[u'state', u'far', u'using', u'ensure', u'higher', u'facing', u'plan', u'created', u'increase', u'including']","[u'state', u'far', u'using', u'ensure', u'created', u'higher', u'facing', u'plan', u'increase', u'including']"
