"[u'right', u'case', u'did', u'permanent', u'locally', u'rights', u'elected', u'rubber_tappers', u'upgraded', u'key']","[u'missing', u'duties', u'strategy', u'installed', u'yes', u'help', u'bought', u'suspected', u'poor', u'planning']","[u'technology', u'servants', u'approved', u'workers', u'construction', u'borrowers', u'near', u'scholarship', u'documents', u'refugees']","[u'party', u'free', u'reported', u'statements', u'include', u'conjunction', u'agriculture', u'abuse', u'restrict', u'married']","[u'shortterm', u'road', u'meet', u'broadband', u'dropped', u'inflation', u'drug', u'international', u'treated', u'time']","[u'itself', u'bridge', u'drop', u'proven', u'participated', u'strategy', u'registration', u'categories', u'vehicles', u'enacted']","[u'control', u'20102012', u'grants', u'form', u'experienced', u'house', u'as', u'detect', u'leaders', u'agricultural']","[u'resulted', u'ranked', u'fair', u'handed', u'abandoned', u'applications', u'flight', u'lose', u'enhance', u'benefited']","[u'exempted', u'payment', u'middlemen', u'charges', u'financial_institutions', u'ringgit', u'granting', u'commercialized', u'control', u'recent']","[u'pertaining', u'ended', u'destroyed', u'equity', u'teenagers', u'missing', u'construction', u'cause', u'drafting', u'collapsed']","[u'scholarships', u'klia2', u'tabung', u'selangor', u'taxi', u'participate', u'connecting', u'international', u'installed', u'special']","[u'jakim', u'leading', u'produced', u'regards', u'reflect', u'9mnaa', u'decrease', u'empower', u'standards', u'assisting']","[u'living', u'solving', u'late', u'primary_secondary_schools', u'adopt', u'forced', u'arrest', u'since', u'rising', u'seek']","[u'responsible', u'the', u'deliver', u'hudud', u'disclosed', u'difficulty', u'fight', u'new', u'laid', u'imposing']","[u'universities', u'air', u'burdening', u'repayment', u'funded', u'global', u'standards', u'jobs', u'bin', u'approving']","[u'hiring', u'capable', u'technical', u'peace', u'known', u'granted', u'logging', u'practised', u'conduct', u'detailed']","[u'achievements', u'declined', u'workforce', u'repay', u'acquired', u'investigations', u'homes', u'voters', u'completed', u'disclosed']","[u'blacklisted', u'details', u'organized', u'competitive', u'firearms', u'new', u'km', u'federal', u'teaching', u'places']","[u'applications', u'really', u'employees', u'promoting', u'far', u'women', u'revise', u'cars', u'showed', u'search']","[u'operations', u'unemployment', u'includes', u'protecting', u'introduced', u'abused', u'restoring', u'sales', u'measures', u'attended']"
"[u'operators', u'pursue', u'achievement', u'amend', u'ready', u'approval', u'non', u'rationale', u'proposals', u'addressed']","[u'amend', u'pursue', u'existing', u'addressed', u'operators', u'abolished', u'sabahans', u'non', u'ready', u'achievement']","[u'pursue', u'operators', u'amend', u'addressed', u'located', u'control', u'non', u'rationale', u'expand', u'achievement']","[u'rationale', u'pursue', u'ready', u'operators', u'addressed', u'non', u'residents', u'amend', u'control', u'conjunction']","[u'operators', u'ready', u'amend', u'rationale', u'non', u'pursue', u'medical', u'located', u'labour', u'addressed']","[u'operators', u'pursue', u'ready', u'medical', u'addressed', u'participated', u'guarantee', u'sabahans', u'amend', u'proposals']","[u'control', u'rationale', u'operators', u'approval', u'amend', u'ready', u'ago', u'labour', u'aes', u'pursue']","[u'amend', u'operators', u'non', u'rationale', u'pursue', u'located', u'labour', u'control', u'approval', u'acquired']","[u'control', u'operators', u'ready', u'pursue', u'amend', u'achievement', u'proposals', u'restaurants', u'rationale', u'ago']","[u'pursue', u'amend', u'operators', u'rationale', u'addressed', u'non', u'target', u'medical', u'citizenship', u'investments']","[u'rationale', u'operators', u'non', u'addressed', u'pursue', u'achievement', u'amend', u'palm', u'approval', u'investments']","[u'pursue', u'operators', u'amend', u'rationale', u'ready', u'labour', u'achievement', u'non', u'statistics', u'phase']","[u'operators', u'ready', u'non', u'approval', u'abolished', u'addressed', u'pursue', u'specified', u'expand', u'seek']","[u'pursue', u'operators', u'non', u'rationale', u'addressed', u'investments', u'existing', u'amend', u'sabahans', u'labour']","[u'operators', u'rationale', u'achievement', u'addressed', u'amend', u'proposals', u'abolished', u'ago', u'non', u'pursue']","[u'amend', u'rationale', u'pursue', u'ready', u'residents', u'operators', u'avoid', u'non', u'control', u'ago']","[u'operators', u'ready', u'rationale', u'sabahans', u'addressed', u'pursue', u'acquired', u'aes', u'amend', u'non']","[u'operators', u'pursue', u'amend', u'competitive', u'addressed', u'medical', u'rationale', u'non', u'existing', u'achievement']","[u'pursue', u'rationale', u'amend', u'medical', u'operators', u'located', u'abolished', u'addressed', u'approval', u'sabahans']","[u'operators', u'amend', u'achievement', u'rationale', u'sabahans', u'non', u'labour', u'saying', u'jobs', u'pursue']"
"[u'operators', u'pursue', u'amend', u'rationale', u'non', u'addressed', u'achievement', u'ready', u'labour', u'approval']","[u'amend', u'operators', u'pursue', u'addressed', u'ready', u'non', u'control', u'abolished', u'approval', u'achievement']","[u'operators', u'pursue', u'amend', u'addressed', u'rationale', u'ready', u'non', u'located', u'ago', u'control']","[u'rationale', u'operators', u'pursue', u'amend', u'addressed', u'ready', u'non', u'control', u'residents', u'located']","[u'operators', u'rationale', u'ready', u'amend', u'pursue', u'non', u'addressed', u'located', u'control', u'labour']","[u'operators', u'pursue', u'amend', u'ready', u'rationale', u'addressed', u'avoid', u'non', u'medical', u'sabahans']","[u'operators', u'rationale', u'control', u'amend', u'ago', u'non', u'ready', u'pursue', u'addressed', u'located']","[u'operators', u'amend', u'pursue', u'rationale', u'non', u'located', u'addressed', u'control', u'labour', u'avoid']","[u'operators', u'pursue', u'rationale', u'control', u'amend', u'ready', u'addressed', u'ago', u'avoid', u'non']","[u'operators', u'amend', u'rationale', u'pursue', u'non', u'located', u'addressed', u'target', u'ready', u'control']","[u'operators', u'rationale', u'pursue', u'non', u'addressed', u'amend', u'achievement', u'avoid', u'ago', u'located']","[u'operators', u'pursue', u'rationale', u'amend', u'ready', u'non', u'achievement', u'addressed', u'labour', u'located']","[u'operators', u'ready', u'pursue', u'non', u'amend', u'rationale', u'control', u'addressed', u'abolished', u'labour']","[u'pursue', u'operators', u'rationale', u'non', u'addressed', u'amend', u'ready', u'labour', u'ago', u'existing']","[u'operators', u'rationale', u'pursue', u'addressed', u'amend', u'non', u'abolished', u'achievement', u'ago', u'avoid']","[u'amend', u'pursue', u'operators', u'rationale', u'non', u'ready', u'avoid', u'addressed', u'control', u'located']","[u'operators', u'rationale', u'pursue', u'addressed', u'amend', u'ready', u'non', u'sabahans', u'located', u'achievement']","[u'operators', u'pursue', u'amend', u'rationale', u'addressed', u'non', u'located', u'ready', u'avoid', u'medical']","[u'rationale', u'pursue', u'operators', u'amend', u'addressed', u'located', u'ready', u'ago', u'medical', u'abolished']","[u'operators', u'amend', u'rationale', u'pursue', u'non', u'achievement', u'ready', u'control', u'addressed', u'sabahans']"
"[u'operators', u'amend', u'rationale', u'pursue', u'non', u'ready', u'addressed', u'avoid', u'located', u'achievement']","[u'amend', u'operators', u'addressed', u'pursue', u'rationale', u'ready', u'non', u'control', u'located', u'abolished']","[u'operators', u'amend', u'rationale', u'pursue', u'addressed', u'ready', u'located', u'non', u'control', u'avoid']","[u'rationale', u'operators', u'amend', u'pursue', u'addressed', u'ready', u'non', u'located', u'control', u'residents']","[u'operators', u'amend', u'rationale', u'ready', u'pursue', u'located', u'non', u'control', u'addressed', u'achievement']","[u'operators', u'pursue', u'rationale', u'amend', u'addressed', u'ready', u'non', u'located', u'avoid', u'achievement']","[u'operators', u'rationale', u'control', u'amend', u'ready', u'non', u'ago', u'located', u'pursue', u'addressed']","[u'operators', u'amend', u'rationale', u'pursue', u'non', u'located', u'control', u'addressed', u'avoid', u'labour']","[u'operators', u'rationale', u'amend', u'control', u'ready', u'pursue', u'addressed', u'ago', u'avoid', u'non']","[u'operators', u'amend', u'rationale', u'pursue', u'non', u'located', u'target', u'addressed', u'ready', u'control']","[u'rationale', u'operators', u'amend', u'pursue', u'non', u'addressed', u'avoid', u'ago', u'achievement', u'control']","[u'operators', u'rationale', u'pursue', u'amend', u'non', u'ready', u'addressed', u'located', u'achievement', u'control']","[u'operators', u'rationale', u'amend', u'ready', u'pursue', u'control', u'non', u'addressed', u'abolished', u'avoid']","[u'operators', u'rationale', u'pursue', u'amend', u'non', u'addressed', u'ready', u'control', u'located', u'existing']","[u'operators', u'rationale', u'pursue', u'amend', u'addressed', u'non', u'located', u'achievement', u'abolished', u'control']","[u'operators', u'amend', u'rationale', u'pursue', u'non', u'ready', u'control', u'located', u'avoid', u'addressed']","[u'operators', u'rationale', u'pursue', u'amend', u'addressed', u'ready', u'located', u'non', u'achievement', u'existing']","[u'operators', u'amend', u'pursue', u'rationale', u'addressed', u'located', u'non', u'existing', u'ready', u'avoid']","[u'rationale', u'operators', u'pursue', u'amend', u'located', u'addressed', u'control', u'ready', u'ago', u'abolished']","[u'operators', u'amend', u'rationale', u'pursue', u'non', u'ready', u'control', u'achievement', u'addressed', u'located']"
"[u'operators', u'rationale', u'amend', u'pursue', u'ready', u'non', u'avoid', u'located', u'addressed', u'achievement']","[u'operators', u'amend', u'rationale', u'addressed', u'ready', u'control', u'pursue', u'non', u'located', u'existing']","[u'operators', u'rationale', u'amend', u'pursue', u'control', u'ready', u'avoid', u'located', u'addressed', u'non']","[u'rationale', u'operators', u'amend', u'pursue', u'addressed', u'ready', u'control', u'located', u'non', u'achievement']","[u'operators', u'amend', u'rationale', u'ready', u'located', u'control', u'pursue', u'non', u'addressed', u'avoid']","[u'operators', u'rationale', u'amend', u'pursue', u'ready', u'addressed', u'located', u'control', u'avoid', u'achievement']","[u'operators', u'rationale', u'control', u'amend', u'ready', u'non', u'located', u'ago', u'avoid', u'pursue']","[u'operators', u'rationale', u'amend', u'control', u'located', u'non', u'pursue', u'addressed', u'avoid', u'ready']","[u'rationale', u'operators', u'amend', u'ready', u'control', u'pursue', u'addressed', u'avoid', u'ago', u'non']","[u'operators', u'amend', u'rationale', u'located', u'pursue', u'non', u'control', u'target', u'ready', u'addressed']","[u'rationale', u'operators', u'amend', u'pursue', u'control', u'non', u'addressed', u'ago', u'avoid', u'achievement']","[u'rationale', u'operators', u'amend', u'pursue', u'non', u'ready', u'located', u'addressed', u'achievement', u'control']","[u'operators', u'rationale', u'amend', u'ready', u'control', u'pursue', u'non', u'addressed', u'avoid', u'ago']","[u'rationale', u'operators', u'amend', u'pursue', u'non', u'addressed', u'ready', u'control', u'located', u'existing']","[u'operators', u'rationale', u'amend', u'pursue', u'non', u'located', u'control', u'addressed', u'achievement', u'ready']","[u'rationale', u'operators', u'amend', u'pursue', u'control', u'ready', u'non', u'avoid', u'located', u'target']","[u'operators', u'rationale', u'amend', u'pursue', u'addressed', u'ready', u'located', u'non', u'control', u'achievement']","[u'operators', u'amend', u'rationale', u'pursue', u'addressed', u'located', u'non', u'avoid', u'ready', u'existing']","[u'rationale', u'operators', u'amend', u'pursue', u'control', u'addressed', u'located', u'ready', u'ago', u'avoid']","[u'operators', u'amend', u'rationale', u'control', u'ready', u'pursue', u'non', u'located', u'achievement', u'addressed']"
"[u'operators', u'rationale', u'amend', u'avoid', u'ready', u'located', u'control', u'pursue', u'non', u'addressed']","[u'operators', u'amend', u'rationale', u'control', u'ready', u'non', u'addressed', u'located', u'avoid', u'pursue']","[u'rationale', u'operators', u'amend', u'control', u'pursue', u'avoid', u'located', u'ready', u'owned', u'ago']","[u'rationale', u'operators', u'amend', u'control', u'pursue', u'ready', u'located', u'addressed', u'avoid', u'target']","[u'rationale', u'operators', u'amend', u'ready', u'control', u'located', u'avoid', u'pursue', u'addressed', u'non']","[u'operators', u'rationale', u'amend', u'ready', u'addressed', u'control', u'pursue', u'located', u'avoid', u'achievement']","[u'rationale', u'operators', u'amend', u'control', u'located', u'ready', u'avoid', u'non', u'ago', u'owned']","[u'operators', u'rationale', u'amend', u'control', u'located', u'non', u'avoid', u'pursue', u'addressed', u'target']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'avoid', u'pursue', u'addressed', u'located', u'ago']","[u'operators', u'rationale', u'amend', u'located', u'control', u'target', u'ready', u'pursue', u'non', u'addressed']","[u'rationale', u'operators', u'amend', u'control', u'avoid', u'addressed', u'pursue', u'located', u'achievement', u'owned']","[u'rationale', u'operators', u'amend', u'ready', u'pursue', u'located', u'non', u'control', u'addressed', u'existing']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'located', u'non', u'avoid', u'pursue', u'ago']","[u'rationale', u'operators', u'amend', u'pursue', u'ready', u'control', u'addressed', u'non', u'located', u'avoid']","[u'operators', u'rationale', u'amend', u'control', u'located', u'ready', u'non', u'ago', u'addressed', u'achievement']","[u'rationale', u'operators', u'amend', u'control', u'avoid', u'located', u'ready', u'non', u'target', u'pursue']","[u'rationale', u'operators', u'amend', u'located', u'ready', u'control', u'pursue', u'addressed', u'non', u'avoid']","[u'operators', u'rationale', u'amend', u'located', u'addressed', u'avoid', u'pursue', u'non', u'ready', u'control']","[u'rationale', u'operators', u'amend', u'control', u'pursue', u'located', u'ready', u'addressed', u'ago', u'avoid']","[u'operators', u'rationale', u'amend', u'control', u'ready', u'located', u'avoid', u'non', u'ago', u'pursue']"
"[u'operators', u'rationale', u'amend', u'avoid', u'located', u'control', u'ready', u'target', u'owned', u'non']","[u'amend', u'rationale', u'operators', u'control', u'ready', u'located', u'non', u'avoid', u'existing', u'owned']","[u'rationale', u'operators', u'amend', u'located', u'control', u'avoid', u'owned', u'ready', u'existing', u'pursue']","[u'rationale', u'operators', u'amend', u'located', u'control', u'ready', u'avoid', u'owned', u'addressed', u'target']","[u'rationale', u'amend', u'operators', u'ready', u'control', u'located', u'avoid', u'owned', u'existing', u'supply']","[u'operators', u'rationale', u'amend', u'ready', u'control', u'located', u'avoid', u'addressed', u'target', u'supply']","[u'rationale', u'operators', u'amend', u'control', u'located', u'avoid', u'ready', u'owned', u'non', u'supply']","[u'rationale', u'amend', u'operators', u'located', u'control', u'avoid', u'ready', u'non', u'target', u'owned']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'avoid', u'located', u'owned', u'existing', u'non']","[u'rationale', u'amend', u'operators', u'located', u'control', u'ready', u'avoid', u'target', u'existing', u'non']","[u'rationale', u'amend', u'operators', u'control', u'avoid', u'located', u'owned', u'ready', u'target', u'addressed']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'located', u'avoid', u'non', u'owned', u'existing']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'located', u'avoid', u'non', u'supply', u'ago']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'located', u'avoid', u'existing', u'non', u'pursue']","[u'rationale', u'operators', u'amend', u'control', u'located', u'ready', u'avoid', u'target', u'non', u'ago']","[u'rationale', u'operators', u'amend', u'control', u'avoid', u'ready', u'located', u'non', u'target', u'supply']","[u'rationale', u'operators', u'amend', u'control', u'located', u'ready', u'avoid', u'owned', u'addressed', u'existing']","[u'rationale', u'amend', u'operators', u'located', u'avoid', u'addressed', u'control', u'existing', u'owned', u'ready']","[u'rationale', u'operators', u'amend', u'control', u'located', u'ready', u'avoid', u'supply', u'target', u'ago']","[u'rationale', u'operators', u'amend', u'control', u'located', u'ready', u'avoid', u'target', u'owned', u'supply']"
"[u'rationale', u'operators', u'amend', u'avoid', u'control', u'located', u'owned', u'ready', u'target', u'efforts']","[u'rationale', u'amend', u'operators', u'control', u'located', u'ready', u'avoid', u'owned', u'existing', u'target']","[u'rationale', u'amend', u'operators', u'control', u'located', u'avoid', u'owned', u'existing', u'supply', u'ready']","[u'rationale', u'amend', u'operators', u'located', u'control', u'owned', u'avoid', u'ready', u'target', u'']","[u'rationale', u'amend', u'operators', u'control', u'located', u'ready', u'avoid', u'owned', u'supply', u'target']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'located', u'avoid', u'supply', u'target', u'']","[u'rationale', u'operators', u'control', u'amend', u'located', u'avoid', u'owned', u'ready', u'supply', u'efforts']","[u'rationale', u'operators', u'amend', u'control', u'located', u'avoid', u'target', u'owned', u'ready', u'supply']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'avoid', u'located', u'owned', u'existing', u'supply']","[u'rationale', u'operators', u'amend', u'control', u'located', u'avoid', u'ready', u'target', u'owned', u'efforts']","[u'rationale', u'amend', u'operators', u'control', u'avoid', u'located', u'owned', u'target', u'ready', u'existing']","[u'rationale', u'operators', u'amend', u'control', u'located', u'ready', u'avoid', u'owned', u'existing', u'supply']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'located', u'avoid', u'supply', u'ago', u'owned']","[u'rationale', u'amend', u'operators', u'control', u'located', u'avoid', u'target', u'ready', u'existing', u'owned']","[u'rationale', u'operators', u'amend', u'control', u'located', u'ready', u'target', u'avoid', u'owned', u'supply']","[u'rationale', u'operators', u'amend', u'control', u'avoid', u'located', u'ready', u'target', u'supply', u'owned']","[u'rationale', u'amend', u'operators', u'control', u'located', u'avoid', u'ready', u'owned', u'existing', u'target']","[u'rationale', u'amend', u'operators', u'located', u'avoid', u'control', u'owned', u'efforts', u'target', u'existing']","[u'rationale', u'operators', u'amend', u'control', u'located', u'avoid', u'ready', u'supply', u'target', u'owned']","[u'rationale', u'amend', u'operators', u'control', u'avoid', u'located', u'target', u'owned', u'ready', u'supply']"
"[u'rationale', u'operators', u'amend', u'control', u'avoid', u'located', u'ready', u'owned', u'target', u'efforts']","[u'rationale', u'amend', u'operators', u'control', u'located', u'avoid', u'ready', u'owned', u'target', u'existing']","[u'rationale', u'amend', u'operators', u'control', u'located', u'avoid', u'owned', u'existing', u'target', u'ready']","[u'rationale', u'amend', u'operators', u'control', u'located', u'owned', u'avoid', u'ready', u'efforts', u'']","[u'rationale', u'amend', u'operators', u'control', u'located', u'ready', u'avoid', u'owned', u'supply', u'target']","[u'rationale', u'operators', u'amend', u'control', u'ready', u'located', u'avoid', u'', u'efforts', u'target']","[u'rationale', u'operators', u'control', u'amend', u'located', u'avoid', u'owned', u'ready', u'efforts', u'target']","[u'rationale', u'operators', u'amend', u'control', u'located', u'avoid', u'target', u'owned', u'ready', u'efforts']","[u'rationale', u'control', u'operators', u'amend', u'avoid', u'ready', u'located', u'owned', u'', u'efforts']","[u'rationale', u'operators', u'amend', u'control', u'located', u'avoid', u'efforts', u'target', u'ready', u'owned']","[u'rationale', u'amend', u'operators', u'control', u'avoid', u'owned', u'located', u'target', u'efforts', u'ready']","[u'rationale', u'operators', u'amend', u'control', u'located', u'avoid', u'ready', u'owned', u'existing', u'target']","[u'rationale', u'operators', u'control', u'amend', u'ready', u'located', u'avoid', u'ago', u'owned', u'target']","[u'rationale', u'amend', u'operators', u'control', u'located', u'target', u'avoid', u'ready', u'owned', u'existing']","[u'rationale', u'operators', u'amend', u'control', u'located', u'avoid', u'ready', u'target', u'owned', u'']","[u'rationale', u'operators', u'amend', u'control', u'avoid', u'located', u'ready', u'target', u'supply', u'owned']","[u'rationale', u'amend', u'operators', u'control', u'located', u'avoid', u'efforts', u'ready', u'owned', u'existing']","[u'rationale', u'amend', u'operators', u'avoid', u'control', u'located', u'efforts', u'owned', u'target', u'existing']","[u'rationale', u'operators', u'amend', u'control', u'avoid', u'located', u'ready', u'', u'target', u'owned']","[u'rationale', u'amend', u'operators', u'control', u'avoid', u'located', u'owned', u'target', u'ready', u'supply']"
"[u'rationale', u'operators', u'amend', u'control', u'avoid', u'located', u'efforts', u'owned', u'target', u'']","[u'rationale', u'amend', u'control', u'operators', u'located', u'avoid', u'target', u'owned', u'ready', u'recently']","[u'rationale', u'amend', u'control', u'operators', u'located', u'avoid', u'owned', u'supply', u'efforts', u'target']","[u'rationale', u'amend', u'operators', u'control', u'located', u'owned', u'avoid', u'efforts', u'', u'target']","[u'rationale', u'amend', u'control', u'operators', u'located', u'owned', u'supply', u'avoid', u'', u'target']","[u'rationale', u'operators', u'control', u'amend', u'located', u'', u'ready', u'efforts', u'avoid', u'owned']","[u'rationale', u'operators', u'control', u'amend', u'owned', u'located', u'avoid', u'efforts', u'recently', u'target']","[u'rationale', u'amend', u'operators', u'control', u'located', u'target', u'owned', u'avoid', u'efforts', u'supply']","[u'rationale', u'control', u'amend', u'operators', u'avoid', u'located', u'', u'efforts', u'owned', u'ready']","[u'rationale', u'amend', u'operators', u'control', u'located', u'avoid', u'efforts', u'target', u'recently', u'owned']","[u'rationale', u'amend', u'control', u'operators', u'avoid', u'owned', u'target', u'located', u'efforts', u'']","[u'rationale', u'operators', u'amend', u'control', u'located', u'owned', u'avoid', u'efforts', u'target', u'']","[u'rationale', u'control', u'amend', u'operators', u'located', u'avoid', u'ready', u'supply', u'owned', u'efforts']","[u'rationale', u'amend', u'operators', u'control', u'located', u'target', u'avoid', u'owned', u'', u'supply']","[u'rationale', u'control', u'operators', u'amend', u'located', u'avoid', u'', u'target', u'owned', u'supply']","[u'rationale', u'amend', u'operators', u'control', u'avoid', u'located', u'target', u'', u'owned', u'supply']","[u'rationale', u'amend', u'control', u'operators', u'located', u'efforts', u'avoid', u'owned', u'target', u'']","[u'rationale', u'amend', u'operators', u'control', u'avoid', u'efforts', u'located', u'owned', u'', u'target']","[u'rationale', u'operators', u'control', u'amend', u'avoid', u'located', u'', u'efforts', u'owned', u'supply']","[u'rationale', u'amend', u'operators', u'control', u'located', u'avoid', u'owned', u'target', u'supply', u'']"
"[u'rationale', u'control', u'operators', u'amend', u'avoid', u'efforts', u'', u'located', u'owned', u'target']","[u'rationale', u'amend', u'control', u'operators', u'located', u'', u'avoid', u'owned', u'target', u'recently']","[u'rationale', u'amend', u'control', u'operators', u'avoid', u'located', u'owned', u'efforts', u'supply', u'']","[u'rationale', u'amend', u'control', u'operators', u'', u'owned', u'located', u'avoid', u'efforts', u'target']","[u'rationale', u'amend', u'control', u'operators', u'', u'owned', u'supply', u'located', u'avoid', u'target']","[u'rationale', u'control', u'amend', u'operators', u'', u'efforts', u'located', u'avoid', u'owned', u'supply']","[u'rationale', u'control', u'operators', u'amend', u'owned', u'efforts', u'avoid', u'located', u'', u'recently']","[u'rationale', u'amend', u'operators', u'control', u'owned', u'target', u'located', u'avoid', u'efforts', u'']","[u'rationale', u'control', u'amend', u'operators', u'avoid', u'', u'efforts', u'located', u'owned', u'supply']","[u'rationale', u'amend', u'control', u'operators', u'located', u'efforts', u'avoid', u'', u'recently', u'target']","[u'rationale', u'control', u'operators', u'amend', u'owned', u'avoid', u'target', u'', u'efforts', u'recently']","[u'rationale', u'amend', u'control', u'operators', u'', u'owned', u'located', u'avoid', u'efforts', u'target']","[u'rationale', u'control', u'amend', u'operators', u'avoid', u'located', u'efforts', u'supply', u'owned', u'']","[u'rationale', u'control', u'amend', u'operators', u'target', u'', u'located', u'efforts', u'avoid', u'owned']","[u'rationale', u'control', u'amend', u'operators', u'', u'avoid', u'located', u'owned', u'target', u'supply']","[u'rationale', u'control', u'amend', u'operators', u'', u'efforts', u'avoid', u'owned', u'supply', u'target']","[u'rationale', u'control', u'amend', u'operators', u'efforts', u'avoid', u'located', u'owned', u'', u'supply']","[u'rationale', u'amend', u'control', u'operators', u'efforts', u'avoid', u'', u'owned', u'located', u'target']","[u'rationale', u'control', u'operators', u'amend', u'', u'avoid', u'efforts', u'target', u'owned', u'located']","[u'rationale', u'amend', u'control', u'operators', u'avoid', u'', u'located', u'owned', u'supply', u'target']"
