"[u'rozman', u'uji', u'rm4', u'russia', u'membanteras', u'lalat', u'denda', u'mahb', u'apply', u'civil']","[u'yakni', u'akaun', u'bangladesh', u'adakan', u'resolusi', u'sin', u'kepayan', u'siasat', u'bintangor', u'telefon']","[u'lombong', u'sistematik', u'edar', u'kapita', u'bentang', u'pinggang', u'fta', u'kalimantan', u'called', u'tragedi']","[u'kunjung', u'etp', u'dihebahkan', u'makmur', u'nelayan', u'might', u'pinggir', u'ejen', u'junjung', u'tukar']","[u'rukun', u'timpal', u'bsi', u'jawapan', u'borneo', u'perkeso', u'binti', u'kesah', u'trade', u'ktm']","[u'sme', u'selenggara', u'kompaun', u'world', u'rangkum', u'unsur', u'iklim', u'sosioekonomi', u'demam', u'called']","[u'rejab', u'ayam', u'kongsi', u'paksa', u'ekor', u'bayar', u'kelar', u'filem', u'sjkc', u'kanan']","[u'semak', u'sekutu', u'menggerimander', u'hapus', u'bernas', u'tinggal', u'paksa', u'teruk', u'teroka', u'uitm']","[u'ciri', u'mou', u'loteri', u'ratifikasi', u'cermin', u'131598', u'berbeza', u'korban', u'asb', u'rm69']","[u'kompaun', u'nombor', u'hak', u'likely', u'adu', u'1948', u'duti', u'prinsip', u'gdp', u'pakai']"
"[u'operating', u'department', u'ancang', u'tanam', u'paya', u'harmoni', u'bubar', u'dakwat', u'pulang', u'kakitangan']","[u'operating', u'department', u'ancang', u'tanam', u'harmoni', u'kakitangan', u'bangga', u'suruhanjaya', u'bahas', u'sekira']","[u'operating', u'department', u'ancang', u'tanam', u'paya', u'sekira', u'pulang', u'harmoni', u'kakitangan', u'bangga']","[u'operating', u'department', u'ancang', u'harmoni', u'tanam', u'kakitangan', u'bubar', u'sekira', u'bahas', u'paya']","[u'operating', u'department', u'ancang', u'tanam', u'sekira', u'harmoni', u'pulang', u'kakitangan', u'paya', u'dakwat']","[u'operating', u'department', u'ancang', u'tanam', u'harmoni', u'pulang', u'bubar', u'kakitangan', u'bahas', u'paya']","[u'operating', u'department', u'ancang', u'tanam', u'harmoni', u'bahas', u'sekira', u'bangga', u'bentuk', u'pulang']","[u'operating', u'department', u'ancang', u'tanam', u'harmoni', u'sekira', u'kakitangan', u'multi', u'suruhanjaya', u'prestij']","[u'operating', u'ancang', u'department', u'harmoni', u'tanam', u'sekira', u'paya', u'kakitangan', u'multi', u'bangga']","[u'operating', u'department', u'ancang', u'tanam', u'bahas', u'harmoni', u'paya', u'bangga', u'bentuk', u'sekira']"
"[u'operating', u'ancang', u'bahas', u'department', u'tanam', u'harmoni', u'sekira', u'paya', u'murni', u'suruhanjaya']","[u'operating', u'ancang', u'tanam', u'bahas', u'sekira', u'department', u'harmoni', u'suruhanjaya', u'paya', u'kakitangan']","[u'operating', u'ancang', u'sekira', u'department', u'paya', u'bahas', u'tanam', u'harmoni', u'bentuk', u'suruhanjaya']","[u'operating', u'ancang', u'department', u'sekira', u'harmoni', u'bahas', u'tanam', u'bentuk', u'kakitangan', u'paya']","[u'operating', u'ancang', u'department', u'sekira', u'tanam', u'paya', u'bahas', u'murni', u'harmoni', u'kakitangan']","[u'operating', u'ancang', u'department', u'tanam', u'harmoni', u'sekira', u'bahas', u'paya', u'kakitangan', u'murni']","[u'operating', u'ancang', u'sekira', u'bahas', u'department', u'paya', u'harmoni', u'tanam', u'bentuk', u'suruhanjaya']","[u'operating', u'ancang', u'sekira', u'department', u'bahas', u'harmoni', u'tanam', u'paya', u'suruhanjaya', u'kakitangan']","[u'operating', u'ancang', u'sekira', u'department', u'kakitangan', u'bahas', u'harmoni', u'paya', u'tanam', u'suruhanjaya']","[u'operating', u'ancang', u'department', u'bahas', u'tanam', u'sekira', u'paya', u'harmoni', u'kakitangan', u'bentuk']"
"[u'ancang', u'operating', u'bahas', u'sekira', u'suruhanjaya', u'harmoni', u'jauh', u'murni', u'paya', u'bentuk']","[u'ancang', u'operating', u'sekira', u'bahas', u'suruhanjaya', u'paya', u'murni', u'harmoni', u'tanam', u'jauh']","[u'ancang', u'operating', u'sekira', u'bahas', u'suruhanjaya', u'paya', u'jauh', u'harmoni', u'murni', u'bentuk']","[u'ancang', u'operating', u'bahas', u'sekira', u'suruhanjaya', u'harmoni', u'bentuk', u'jauh', u'paya', u'tanam']","[u'ancang', u'operating', u'sekira', u'bahas', u'suruhanjaya', u'murni', u'paya', u'harmoni', u'jauh', u'kakitangan']","[u'ancang', u'operating', u'sekira', u'bahas', u'suruhanjaya', u'harmoni', u'murni', u'paya', u'jauh', u'tanam']","[u'ancang', u'operating', u'sekira', u'bahas', u'suruhanjaya', u'harmoni', u'paya', u'murni', u'bentuk', u'tanam']","[u'ancang', u'operating', u'bahas', u'sekira', u'suruhanjaya', u'paya', u'murni', u'jauh', u'tanam', u'bentuk']","[u'ancang', u'operating', u'sekira', u'bahas', u'suruhanjaya', u'jauh', u'paya', u'harmoni', u'kakitangan', u'murni']","[u'ancang', u'operating', u'bahas', u'sekira', u'suruhanjaya', u'paya', u'harmoni', u'bentuk', u'murni', u'tanam']"
"[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'murni', u'bentuk', u'kesan', u'operating', u'paya']","[u'ancang', u'sekira', u'bahas', u'suruhanjaya', u'jauh', u'operating', u'murni', u'bentuk', u'paya', u'kesan']","[u'ancang', u'sekira', u'bahas', u'suruhanjaya', u'jauh', u'operating', u'paya', u'murni', u'bentuk', u'senarai']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'operating', u'kesan', u'bentuk', u'murni', u'paya']","[u'ancang', u'sekira', u'bahas', u'suruhanjaya', u'jauh', u'murni', u'operating', u'paya', u'bentuk', u'senarai']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'murni', u'bentuk', u'operating', u'senarai', u'kesan']","[u'ancang', u'sekira', u'bahas', u'suruhanjaya', u'jauh', u'operating', u'murni', u'paya', u'bentuk', u'kesan']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'operating', u'murni', u'paya', u'kesan', u'bentuk']","[u'ancang', u'sekira', u'bahas', u'suruhanjaya', u'jauh', u'operating', u'senarai', u'murni', u'paya', u'bentuk']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'operating', u'murni', u'bentuk', u'kesan', u'paya']"
"[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'kesan', u'senarai', u'murni', u'bentuk', u'agens']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'kesan', u'senarai', u'murni', u'bentuk', u'paya']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'kesan', u'senarai', u'paya', u'bentuk', u'murni']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'kesan', u'senarai', u'bentuk', u'agens', u'murni']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'senarai', u'murni', u'kesan', u'agens', u'bentuk']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'kesan', u'senarai', u'bentuk', u'murni', u'keluarga']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'kesan', u'senarai', u'bentuk', u'agens', u'murni']","[u'ancang', u'bahas', u'suruhanjaya', u'sekira', u'jauh', u'kesan', u'murni', u'senarai', u'paya', u'agens']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'senarai', u'kesan', u'paya', u'murni', u'bentuk']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'jauh', u'kesan', u'senarai', u'bentuk', u'murni', u'paya']"
"[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'kesan', u'jauh', u'senarai', u'keluarga', u'murni', u'mati']","[u'ancang', u'sekira', u'bahas', u'suruhanjaya', u'senarai', u'kesan', u'mati', u'jauh', u'taman', u'murni']","[u'ancang', u'sekira', u'jauh', u'bahas', u'suruhanjaya', u'senarai', u'kesan', u'keluarga', u'murni', u'kenal']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'kesan', u'jauh', u'senarai', u'laksana', u'keluarga', u'murni']","[u'ancang', u'sekira', u'bahas', u'jauh', u'suruhanjaya', u'kesan', u'senarai', u'murni', u'keluarga', u'kenal']","[u'ancang', u'sekira', u'bahas', u'suruhanjaya', u'senarai', u'kesan', u'jauh', u'keluarga', u'murni', u'mati']","[u'ancang', u'sekira', u'bahas', u'suruhanjaya', u'senarai', u'keluarga', u'jauh', u'kesan', u'taman', u'murni']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'kesan', u'jauh', u'senarai', u'murni', u'mati', u'keluarga']","[u'ancang', u'sekira', u'bahas', u'suruhanjaya', u'senarai', u'jauh', u'kesan', u'taman', u'keluarga', u'laksana']","[u'ancang', u'bahas', u'sekira', u'suruhanjaya', u'kesan', u'senarai', u'jauh', u'keluarga', u'kenal', u'laksana']"
"[u'senario', u'lapis', u'ismail', u'mental', u'ranking', u'awat', u'liquor', u'murah', u'efisien', u'kanak']","[u'senario', u'lapis', u'ismail', u'liquor', u'ranking', u'awat', u'murah', u'padu', u'mental', u'pesara']","[u'senario', u'lapis', u'ismail', u'awat', u'ranking', u'liquor', u'pencarum', u'mental', u'padu', u'murah']","[u'senario', u'lapis', u'ismail', u'liquor', u'ventures', u'awat', u'padu', u'efisien', u'filipina', u'wakil']","[u'senario', u'lapis', u'ismail', u'pesara', u'ranking', u'murah', u'minum', u'liquor', u'islam', u'awat']","[u'senario', u'lapis', u'ismail', u'liquor', u'awat', u'murah', u'mental', u'ranking', u'selenggara', u'wakil']","[u'senario', u'lapis', u'liquor', u'murah', u'mental', u'pesara', u'ismail', u'ampun', u'ranking', u'kanak']","[u'senario', u'lapis', u'ismail', u'liquor', u'pesara', u'pencarum', u'ranking', u'mental', u'konsep', u'kedai']","[u'senario', u'lapis', u'liquor', u'mental', u'ismail', u'awat', u'skor', u'selenggara', u'ranking', u'pesara']","[u'senario', u'lapis', u'ismail', u'liquor', u'mental', u'awat', u'ampun', u'ranking', u'selenggara', u'murah']"
"[u'senario', u'forensik', u'ppa', u'murah', u'wakil', u'muda', u'terap', u'arak', u'benda', u'akauntabiliti']","[u'senario', u'forensik', u'ppa', u'arak', u'murah', u'muda', u'wakil', u'pandu', u'terap', u'merdeka']","[u'senario', u'forensik', u'ppa', u'muda', u'wakil', u'murah', u'terap', u'pandu', u'arak', u'akauntabiliti']","[u'senario', u'forensik', u'ppa', u'wakil', u'arak', u'murah', u'terap', u'bangkang', u'muda', u'benda']","[u'senario', u'forensik', u'ppa', u'murah', u'arak', u'muda', u'terap', u'wakil', u'merdeka', u'benda']","[u'senario', u'forensik', u'ppa', u'murah', u'muda', u'wakil', u'arak', u'pandu', u'bangkang', u'terap']","[u'senario', u'forensik', u'ppa', u'arak', u'murah', u'muda', u'wakil', u'terap', u'benda', u'merdeka']","[u'senario', u'forensik', u'ppa', u'murah', u'wakil', u'muda', u'arak', u'akauntabiliti', u'benda', u'bangkang']","[u'senario', u'forensik', u'ppa', u'murah', u'muda', u'arak', u'wakil', u'merdeka', u'pandu', u'benda']","[u'senario', u'forensik', u'ppa', u'murah', u'terap', u'muda', u'wakil', u'pandu', u'arak', u'benda']"
"[u'senario', u'arak', u'forensik', u'minum', u'terap', u'sembah', u'laju', u'ppa', u'keluarga', u'murah']","[u'senario', u'arak', u'forensik', u'minum', u'ppa', u'bedah', u'laju', u'terap', u'keluarga', u'cheap']","[u'senario', u'forensik', u'arak', u'terap', u'laju', u'minum', u'bedah', u'mengisytiharkan', u'keluarga', u'examination']","[u'senario', u'arak', u'forensik', u'bedah', u'terap', u'minum', u'laju', u'ppa', u'mengisytiharkan', u'keluarga']","[u'senario', u'arak', u'forensik', u'minum', u'terap', u'ppa', u'keluarga', u'sepenuh', u'bedah', u'examination']","[u'senario', u'arak', u'forensik', u'minum', u'bedah', u'ppa', u'keluarga', u'laju', u'badan', u'sepenuh']","[u'senario', u'arak', u'forensik', u'minum', u'keluarga', u'bedah', u'terap', u'cheap', u'ppa', u'murah']","[u'senario', u'arak', u'forensik', u'minum', u'bedah', u'keluarga', u'laju', u'cheap', u'mengisytiharkan', u'terap']","[u'senario', u'arak', u'forensik', u'minum', u'laju', u'keluarga', u'bedah', u'sepenuh', u'terap', u'cheap']","[u'senario', u'forensik', u'arak', u'terap', u'minum', u'bedah', u'keluarga', u'laju', u'sepenuh', u'sembah']"
"[u'senario', u'arak', u'murah', u'minum', u'forensik', u'organ', u'islam', u'terap', u'tahan', u'murni']","[u'senario', u'arak', u'minum', u'organ', u'forensik', u'murah', u'islam', u'leluasa', u'merosakkan', u'keluarga']","[u'senario', u'arak', u'forensik', u'murah', u'organ', u'minum', u'tahan', u'islam', u'keluarga', u'terap']","[u'senario', u'arak', u'forensik', u'minum', u'murah', u'organ', u'bedah', u'agama', u'terap', u'keluarga']","[u'senario', u'arak', u'forensik', u'murah', u'minum', u'organ', u'islam', u'murni', u'terap', u'keluarga']","[u'senario', u'arak', u'murah', u'organ', u'forensik', u'minum', u'keluarga', u'merosakkan', u'bedah', u'tahan']","[u'senario', u'arak', u'forensik', u'murah', u'minum', u'organ', u'keluarga', u'agama', u'islam', u'simati']","[u'senario', u'arak', u'murah', u'organ', u'minum', u'forensik', u'islam', u'tahan', u'agama', u'keluarga']","[u'senario', u'arak', u'minum', u'murah', u'organ', u'forensik', u'keluarga', u'islam', u'agama', u'tahan']","[u'senario', u'arak', u'forensik', u'organ', u'murah', u'minum', u'merosakkan', u'keluarga', u'islam', u'terap']"
