"[u'expressway', u'besi', u'baja', u'hobi', u'biar', u'kawal', u'kuku', u'selagi', u'tani', u'gugat']","[u'daftar', u'buntar', u'imigresen', u'pergola', u'aras', u'konsultan', u'pasifik', u'langgar', u'2014', u'setem']","[u'damansara', u'menggerimander', u'putra', u'faktor', u'britain', u'dimanafaatkan', u'kidex', u'teluk', u'rasminya', u'automatik']","[u'up', u'statut', u'bolos', u'menara', u'papar', u'maksimum', u'utara', u'ctos', u'cheap', u'kapasiti']","[u'punggah', u'teraba', u'tagih', u'lalu', u'tunggal', u'obama', u'sudi', u'buloh', u'wee', u'web']","[u'impak', u'kidex', u'unhcr', u'semenanjung', u'24th', u'jimat', u'poyan', u'jpj', u'generasi', u'become']","[u'hospital', u'ic', u'silap', u'rm3235', u'sms', u'dar', u'jkr', u'poket', u'royal', u'iraq']","[u'business', u'dividen', u'es', u'blok', u'unified', u'koroner', u'sebar', u'tahfiz', u'asasi', u'republik']","[u'buloh', u'enhance', u'menteri', u'graduan', u'epf', u'ipts', u'masing', u'ranking', u'ecer', u'medamit']","[u'manipulasi', u'pangkin', u'timbang', u'terminal', u'jemput', u'status', u'ekang', u'src', u'kebal', u'kontinjen']","[u'gambar', u'lonjak', u'kuat', u'muda', u'keramat', u'kwsp', u'langsai', u'kontijen', u'peperiksaan', u'am']","[u'kakisan', u'rm20', u'any', u'runtuh', u'terang', u'kanak', u'pakai', u'tra', u'kaum', u'complaints']","[u'lee', u'hemodialisis', u'golak', u'terbit', u'rm39592', u'lawat', u'hujan', u'proviso', u'spnb', u'ranking']","[u'sempat', u'kenyataankenyataan', u'tv', u'ronda', u'kulasegaran', u'siapa', u'staus', u'integrity', u'maruah', u'great']","[u'pokok', u'plus', u'feri', u'seminar', u'gera', u'patut', u'muncul', u'tahak', u'lahir', u'gelak']","[u'sop', u'ukur', u'membanteras', u'bela', u'ali', u'siti', u'tenusu', u'mckinsey', u'committee', u'halus']","[u'rcep', u'jheoa', u'sikap', u'jatuh', u'sea', u'konservasi', u'belanjawan', u'arab', u'tech', u'moratorium']","[u'positif', u'1948', u'rm300', u'fasiliti', u'parang', u'askar', u'kabut', u'bayan', u'2011', u'pindah']","[u'mesra', u'kamar', u'misi', u'politeknik', u'banci', u'ketidakselesaan', u'azizulhasni', u'stabil', u'sms', u'kebaji']","[u'wajib', u'kafe', u'off', u'trans', u'koperal', u'imej', u'poca', u'wakaf', u'road', u'individu']"
"[u'tetap', u'niat', u'anugerah', u'right', u'sskm', u'in', u'upaya', u'supply', u'munasabah', u'penalti']","[u'tetap', u'niat', u'penalti', u'anugerah', u'ekor', u'bekal', u'sskm', u'holdings', u'in', u'nikmat']","[u'tetap', u'niat', u'anugerah', u'munasabah', u'bekal', u'in', u'right', u'sskm', u'penalti', u'ekor']","[u'tetap', u'niat', u'anugerah', u'bekal', u'upaya', u'penalti', u'holdings', u'in', u'munasabah', u'sskm']","[u'tetap', u'niat', u'anugerah', u'supply', u'holdings', u'right', u'bekal', u'munasabah', u'penalti', u'in']","[u'tetap', u'niat', u'munasabah', u'in', u'anugerah', u'upaya', u'right', u'sskm', u'bekal', u'holdings']","[u'tetap', u'niat', u'munasabah', u'anugerah', u'sskm', u'holdings', u'upaya', u'ekor', u'bekal', u'in']","[u'tetap', u'niat', u'holdings', u'ekor', u'munasabah', u'in', u'supply', u'anugerah', u'sskm', u'kecuali']","[u'tetap', u'niat', u'in', u'penalti', u'anugerah', u'kecuali', u'ekor', u'sskm', u'bekal', u'right']","[u'tetap', u'niat', u'munasabah', u'anugerah', u'in', u'holdings', u'called', u'ekor', u'sskm', u'supply']","[u'tetap', u'niat', u'anugerah', u'supply', u'penalti', u'sskm', u'munasabah', u'holdings', u'upaya', u'called']","[u'tetap', u'niat', u'munasabah', u'in', u'penalti', u'anugerah', u'right', u'holdings', u'ekor', u'sskm']","[u'tetap', u'niat', u'anugerah', u'right', u'sskm', u'holdings', u'munasabah', u'bekal', u'in', u'upaya']","[u'tetap', u'niat', u'munasabah', u'penalti', u'kecuali', u'anugerah', u'in', u'holdings', u'supply', u'right']","[u'tetap', u'niat', u'munasabah', u'in', u'anugerah', u'supply', u'sskm', u'ekor', u'holdings', u'bekal']","[u'tetap', u'niat', u'munasabah', u'sskm', u'bekal', u'supply', u'in', u'anugerah', u'kecuali', u'ekor']","[u'tetap', u'niat', u'anugerah', u'munasabah', u'in', u'right', u'penalti', u'upaya', u'sskm', u'supply']","[u'tetap', u'niat', u'in', u'munasabah', u'holdings', u'anugerah', u'penalti', u'upaya', u'ekor', u'bala']","[u'tetap', u'niat', u'munasabah', u'sskm', u'ekor', u'holdings', u'in', u'penalti', u'supply', u'jadual']","[u'tetap', u'niat', u'anugerah', u'munasabah', u'upaya', u'sskm', u'right', u'in', u'bekal', u'called']"
"[u'tetap', u'niat', u'bekal', u'islam', u'ekor', u'in', u'upaya', u'sskm', u'strategi', u'jadual']","[u'tetap', u'niat', u'bekal', u'ekor', u'islam', u'upaya', u'sskm', u'rugi', u'pinang', u'in']","[u'tetap', u'niat', u'bekal', u'islam', u'ekor', u'upaya', u'strategi', u'anugerah', u'in', u'rugi']","[u'tetap', u'niat', u'bekal', u'upaya', u'ekor', u'islam', u'anugerah', u'strategi', u'pinang', u'in']","[u'tetap', u'niat', u'bekal', u'in', u'anugerah', u'upaya', u'pinang', u'strategi', u'ekor', u'islam']","[u'tetap', u'niat', u'bekal', u'ekor', u'in', u'islam', u'upaya', u'munasabah', u'pinang', u'jadual']","[u'tetap', u'niat', u'bekal', u'ekor', u'upaya', u'strategi', u'in', u'islam', u'sskm', u'anugerah']","[u'tetap', u'niat', u'bekal', u'ekor', u'islam', u'pinang', u'in', u'holdings', u'munasabah', u'minum']","[u'tetap', u'niat', u'bekal', u'ekor', u'upaya', u'in', u'pinang', u'strategi', u'islam', u'jadual']","[u'tetap', u'niat', u'bekal', u'islam', u'in', u'upaya', u'ekor', u'pinang', u'anugerah', u'munasabah']","[u'tetap', u'niat', u'bekal', u'upaya', u'pinang', u'ekor', u'jadual', u'sskm', u'anugerah', u'rugi']","[u'tetap', u'niat', u'bekal', u'ekor', u'islam', u'upaya', u'in', u'strategi', u'pinang', u'sskm']","[u'tetap', u'niat', u'bekal', u'ekor', u'islam', u'in', u'pinang', u'anugerah', u'sskm', u'minum']","[u'tetap', u'niat', u'bekal', u'islam', u'upaya', u'kecuali', u'ekor', u'pinang', u'strategi', u'jadual']","[u'tetap', u'niat', u'bekal', u'in', u'ekor', u'islam', u'munasabah', u'strategi', u'anugerah', u'jadual']","[u'tetap', u'niat', u'bekal', u'ekor', u'minum', u'in', u'jadual', u'islam', u'sskm', u'upaya']","[u'tetap', u'niat', u'bekal', u'islam', u'ekor', u'upaya', u'pinang', u'jatuh', u'kecuali', u'anugerah']","[u'tetap', u'niat', u'bekal', u'ekor', u'islam', u'upaya', u'pinang', u'in', u'selenggara', u'anugerah']","[u'tetap', u'niat', u'bekal', u'ekor', u'islam', u'munasabah', u'in', u'jadual', u'pinang', u'strategi']","[u'tetap', u'niat', u'bekal', u'upaya', u'ekor', u'islam', u'jadual', u'strategi', u'munasabah', u'anugerah']"
"[u'tetap', u'bekal', u'niat', u'islam', u'sarawak', u'rugi', u'minum', u'ekor', u'strategi', u'upaya']","[u'tetap', u'bekal', u'niat', u'islam', u'rugi', u'sarawak', u'pinang', u'kaji', u'kesan', u'diraja']","[u'tetap', u'bekal', u'niat', u'islam', u'pinang', u'rugi', u'sarawak', u'kaji', u'strategi', u'upaya']","[u'tetap', u'bekal', u'niat', u'islam', u'pinang', u'kesan', u'jauh', u'sarawak', u'rugi', u'minum']","[u'tetap', u'niat', u'bekal', u'islam', u'rugi', u'strategi', u'pinang', u'kaji', u'kesan', u'sarawak']","[u'tetap', u'bekal', u'niat', u'islam', u'pinang', u'sarawak', u'kaji', u'upaya', u'ekor', u'kesan']","[u'tetap', u'bekal', u'niat', u'islam', u'pinang', u'rugi', u'strategi', u'ekor', u'sarawak', u'jauh']","[u'tetap', u'bekal', u'niat', u'islam', u'pinang', u'sarawak', u'ekor', u'rugi', u'minum', u'kesan']","[u'tetap', u'bekal', u'niat', u'islam', u'pinang', u'rugi', u'strategi', u'ekor', u'upaya', u'sarawak']","[u'tetap', u'niat', u'bekal', u'islam', u'pinang', u'sarawak', u'rugi', u'minum', u'upaya', u'strategi']","[u'tetap', u'bekal', u'niat', u'islam', u'rugi', u'pinang', u'sarawak', u'kesan', u'kaji', u'jauh']","[u'tetap', u'bekal', u'niat', u'islam', u'pinang', u'sarawak', u'upaya', u'rugi', u'diraja', u'kesan']","[u'tetap', u'bekal', u'niat', u'islam', u'pinang', u'minum', u'kaji', u'rugi', u'strategi', u'ekor']","[u'tetap', u'niat', u'bekal', u'islam', u'pinang', u'rugi', u'upaya', u'jauh', u'sarawak', u'kesan']","[u'tetap', u'bekal', u'niat', u'islam', u'sarawak', u'pinang', u'rugi', u'minum', u'ekor', u'upaya']","[u'tetap', u'bekal', u'niat', u'islam', u'pinang', u'minum', u'sarawak', u'ekor', u'jatuh', u'strategi']","[u'tetap', u'niat', u'bekal', u'islam', u'pinang', u'sarawak', u'kaji', u'kesan', u'rugi', u'ekor']","[u'tetap', u'niat', u'bekal', u'islam', u'pinang', u'sarawak', u'kesan', u'upaya', u'ekor', u'rugi']","[u'tetap', u'niat', u'bekal', u'islam', u'ekor', u'pinang', u'rugi', u'sarawak', u'kesan', u'kaji']","[u'tetap', u'bekal', u'niat', u'islam', u'rugi', u'sarawak', u'pinang', u'kesan', u'jauh', u'minum']"
"[u'tetap', u'bekal', u'islam', u'sarawak', u'niat', u'kaji', u'kesan', u'jauh', u'rugi', u'minum']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'niat', u'kaji', u'jauh', u'rugi', u'pinang']","[u'tetap', u'bekal', u'islam', u'niat', u'sarawak', u'kaji', u'kesan', u'jauh', u'rugi', u'minum']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'jauh', u'niat', u'kaji', u'rugi', u'minum']","[u'tetap', u'bekal', u'islam', u'niat', u'kesan', u'sarawak', u'kaji', u'rugi', u'jauh', u'minum']","[u'tetap', u'bekal', u'islam', u'sarawak', u'niat', u'kesan', u'kaji', u'jauh', u'minum', u'rugi']","[u'tetap', u'bekal', u'islam', u'niat', u'sarawak', u'jauh', u'kesan', u'kaji', u'rugi', u'pinang']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'niat', u'kaji', u'rugi', u'jauh', u'minum']","[u'tetap', u'bekal', u'islam', u'niat', u'sarawak', u'kesan', u'rugi', u'jauh', u'pinang', u'minum']","[u'tetap', u'bekal', u'islam', u'sarawak', u'niat', u'kaji', u'jauh', u'kesan', u'rugi', u'minum']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'niat', u'kaji', u'rugi', u'jauh', u'pinang']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'niat', u'jauh', u'kaji', u'pinang', u'rugi']","[u'tetap', u'bekal', u'islam', u'kaji', u'niat', u'sarawak', u'kesan', u'jauh', u'minum', u'rugi']","[u'tetap', u'bekal', u'islam', u'niat', u'sarawak', u'kesan', u'kaji', u'jauh', u'rugi', u'pinang']","[u'tetap', u'bekal', u'islam', u'sarawak', u'niat', u'kesan', u'kaji', u'jauh', u'minum', u'rugi']","[u'tetap', u'bekal', u'islam', u'sarawak', u'niat', u'kesan', u'jauh', u'minum', u'kaji', u'pinang']","[u'tetap', u'bekal', u'islam', u'niat', u'sarawak', u'kaji', u'kesan', u'jauh', u'rugi', u'minum']","[u'tetap', u'bekal', u'islam', u'niat', u'sarawak', u'kesan', u'jauh', u'kaji', u'minum', u'pinang']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'niat', u'kaji', u'jauh', u'rugi', u'minum']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'niat', u'jauh', u'kaji', u'rugi', u'minum']"
"[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'kaji', u'jauh', u'rugi', u'niat', u'minum']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'kaji', u'jauh', u'rugi', u'diraja', u'sekolah']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'kaji', u'jauh', u'rugi', u'niat', u'pinang']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'jauh', u'kaji', u'rugi', u'niat', u'minum']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'kaji', u'rugi', u'jauh', u'niat', u'akibat']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'kaji', u'jauh', u'niat', u'rugi', u'pinang']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'kaji', u'jauh', u'niat', u'rugi', u'pinang']","[u'tetap', u'islam', u'bekal', u'sarawak', u'kesan', u'kaji', u'jauh', u'rugi', u'diraja', u'pinang']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'kaji', u'jauh', u'rugi', u'niat', u'pinang']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'jauh', u'kaji', u'rugi', u'niat', u'pinang']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'kaji', u'rugi', u'jauh', u'niat', u'pinang']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'kaji', u'jauh', u'rugi', u'pinang', u'niat']","[u'tetap', u'bekal', u'islam', u'kaji', u'kesan', u'sarawak', u'jauh', u'rugi', u'minum', u'niat']","[u'tetap', u'islam', u'bekal', u'kesan', u'sarawak', u'kaji', u'jauh', u'rugi', u'niat', u'pinang']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'kaji', u'jauh', u'rugi', u'niat', u'pinang']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'jauh', u'kaji', u'minum', u'niat', u'rugi']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'kaji', u'jauh', u'rugi', u'niat', u'diraja']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'kaji', u'jauh', u'niat', u'rugi', u'pinang']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'kaji', u'jauh', u'rugi', u'niat', u'minum']","[u'tetap', u'bekal', u'islam', u'kesan', u'jauh', u'sarawak', u'kaji', u'rugi', u'pinang', u'minum']"
"[u'tetap', u'islam', u'bekal', u'sarawak', u'kesan', u'rugi', u'kaji', u'jauh', u'sekolah', u'ajar']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'sekolah', u'kaji', u'jauh', u'rugi', u'bedah']","[u'tetap', u'islam', u'bekal', u'sarawak', u'jauh', u'kesan', u'kaji', u'rugi', u'sekolah', u'akibat']","[u'tetap', u'islam', u'bekal', u'kesan', u'sarawak', u'jauh', u'rugi', u'kaji', u'sekolah', u'akibat']","[u'tetap', u'bekal', u'sarawak', u'islam', u'kesan', u'kaji', u'rugi', u'akibat', u'sekolah', u'jauh']","[u'tetap', u'islam', u'bekal', u'sarawak', u'kesan', u'kaji', u'jauh', u'sekolah', u'rugi', u'kembang']","[u'tetap', u'islam', u'bekal', u'sarawak', u'kesan', u'jauh', u'kaji', u'sekolah', u'rugi', u'ajar']","[u'tetap', u'islam', u'sarawak', u'bekal', u'kesan', u'kaji', u'rugi', u'jauh', u'sekolah', u'diraja']","[u'tetap', u'bekal', u'islam', u'kesan', u'sarawak', u'rugi', u'kaji', u'jauh', u'ajar', u'sekolah']","[u'tetap', u'islam', u'sarawak', u'bekal', u'kesan', u'kaji', u'jauh', u'rugi', u'nilai', u'bedah']","[u'tetap', u'bekal', u'sarawak', u'islam', u'kesan', u'kaji', u'rugi', u'jauh', u'sekolah', u'nilai']","[u'tetap', u'islam', u'bekal', u'sarawak', u'kesan', u'kaji', u'jauh', u'sekolah', u'rugi', u'pinang']","[u'tetap', u'islam', u'bekal', u'kaji', u'kesan', u'sarawak', u'jauh', u'sekolah', u'rugi', u'minum']","[u'tetap', u'islam', u'bekal', u'sarawak', u'kaji', u'kesan', u'rugi', u'jauh', u'sekolah', u'nilai']","[u'tetap', u'islam', u'bekal', u'sarawak', u'kesan', u'rugi', u'kaji', u'jauh', u'sekolah', u'ajar']","[u'tetap', u'bekal', u'islam', u'sarawak', u'kesan', u'sekolah', u'jauh', u'kaji', u'rugi', u'akibat']","[u'tetap', u'islam', u'bekal', u'sarawak', u'kesan', u'kaji', u'jauh', u'bedah', u'sekolah', u'rugi']","[u'tetap', u'islam', u'sarawak', u'bekal', u'kesan', u'kaji', u'rugi', u'jauh', u'sekolah', u'akibat']","[u'tetap', u'islam', u'bekal', u'kaji', u'jauh', u'sarawak', u'kesan', u'rugi', u'akibat', u'sekolah']","[u'tetap', u'islam', u'bekal', u'kesan', u'jauh', u'sarawak', u'kaji', u'rugi', u'sekolah', u'bedah']"
"[u'senario', u'labuh', u'sembah', u'terap', u'fikirkan', u'taman', u'denda', u'spad', u'hebat', u'satem']","[u'senario', u'sembah', u'labuh', u'terap', u'fikirkan', u'denda', u'keretapi', u'satem', u'taman', u'forensik']","[u'senario', u'taman', u'sembah', u'terap', u'fikirkan', u'denda', u'labuh', u'us', u'hebat', u'murni']","[u'senario', u'fikirkan', u'sembah', u'denda', u'terap', u'taman', u'labuh', u'keretapi', u'us', u'hebat']","[u'senario', u'terap', u'fikirkan', u'taman', u'labuh', u'sembah', u'denda', u'us', u'hebat', u'forensik']","[u'senario', u'taman', u'terap', u'fikirkan', u'labuh', u'hebat', u'sembah', u'denda', u'us', u'senyap']","[u'senario', u'terap', u'sembah', u'labuh', u'murni', u'taman', u'denda', u'fikirkan', u'us', u'satem']","[u'senario', u'sembah', u'terap', u'taman', u'labuh', u'keretapi', u'fikirkan', u'forensik', u'us', u'satem']","[u'senario', u'fikirkan', u'denda', u'terap', u'taman', u'labuh', u'sembah', u'keretapi', u'satem', u'arak']","[u'senario', u'terap', u'labuh', u'sembah', u'us', u'taman', u'fikirkan', u'forensik', u'inisiatif', u'murni']","[u'senario', u'fikirkan', u'sembah', u'taman', u'labuh', u'satem', u'terap', u'keretapi', u'us', u'change']","[u'senario', u'sembah', u'terap', u'labuh', u'taman', u'fikirkan', u'denda', u'satem', u'us', u'taska']","[u'senario', u'terap', u'labuh', u'taman', u'hebat', u'fikirkan', u'denda', u'us', u'sembah', u'keretapi']","[u'senario', u'terap', u'fikirkan', u'labuh', u'taman', u'denda', u'sembah', u'us', u'keretapi', u'forensik']","[u'senario', u'sembah', u'fikirkan', u'labuh', u'terap', u'forensik', u'keretapi', u'spad', u'taman', u'denda']","[u'senario', u'sembah', u'labuh', u'terap', u'fikirkan', u'taman', u'forensik', u'us', u'denda', u'sisih']","[u'senario', u'terap', u'fikirkan', u'sembah', u'labuh', u'taman', u'denda', u'keretapi', u'murni', u'forensik']","[u'senario', u'terap', u'fikirkan', u'taman', u'hebat', u'sembah', u'labuh', u'keretapi', u'senyap', u'denda']","[u'senario', u'sembah', u'terap', u'denda', u'murni', u'taman', u'keretapi', u'cawangan', u'labuh', u'us']","[u'senario', u'fikirkan', u'terap', u'keretapi', u'taman', u'labuh', u'sembah', u'satem', u'forensik', u'spad']"
"[u'senario', u'arak', u'forensik', u'terap', u'minum', u'bedah', u'keluarga', u'organ', u'liquor', u'mati']","[u'senario', u'forensik', u'arak', u'bedah', u'terap', u'keluarga', u'minum', u'mati', u'liquor', u'sepenuh']","[u'senario', u'arak', u'forensik', u'minum', u'terap', u'keluarga', u'bedah', u'taman', u'mati', u'liquor']","[u'senario', u'forensik', u'terap', u'arak', u'minum', u'keluarga', u'mati', u'bedah', u'kanak', u'organ']","[u'senario', u'arak', u'forensik', u'terap', u'keluarga', u'minum', u'mati', u'bedah', u'liquor', u'taman']","[u'senario', u'arak', u'forensik', u'terap', u'minum', u'keluarga', u'mati', u'bedah', u'kanak', u'organ']","[u'senario', u'terap', u'arak', u'minum', u'forensik', u'keluarga', u'mati', u'liquor', u'bedah', u'murah']","[u'senario', u'forensik', u'arak', u'terap', u'minum', u'keluarga', u'bedah', u'liquor', u'mati', u'murah']","[u'senario', u'arak', u'forensik', u'keluarga', u'terap', u'bedah', u'minum', u'mati', u'murah', u'liquor']","[u'senario', u'forensik', u'arak', u'terap', u'keluarga', u'minum', u'bedah', u'mati', u'liquor', u'murah']","[u'senario', u'forensik', u'arak', u'terap', u'minum', u'keluarga', u'bedah', u'mati', u'murah', u'liquor']","[u'senario', u'arak', u'forensik', u'terap', u'keluarga', u'minum', u'bedah', u'mati', u'liquor', u'sepenuh']","[u'senario', u'terap', u'minum', u'arak', u'forensik', u'keluarga', u'bedah', u'mati', u'kanak', u'taman']","[u'senario', u'forensik', u'arak', u'terap', u'minum', u'keluarga', u'mati', u'bedah', u'liquor', u'kanak']","[u'senario', u'forensik', u'arak', u'keluarga', u'terap', u'mati', u'minum', u'bedah', u'liquor', u'organ']","[u'senario', u'forensik', u'arak', u'minum', u'terap', u'bedah', u'keluarga', u'mati', u'liquor', u'murah']","[u'senario', u'forensik', u'terap', u'arak', u'bedah', u'minum', u'keluarga', u'mati', u'organ', u'sepenuh']","[u'senario', u'forensik', u'arak', u'terap', u'minum', u'keluarga', u'bedah', u'mati', u'liquor', u'akauntabiliti']","[u'senario', u'forensik', u'arak', u'terap', u'keluarga', u'minum', u'bedah', u'mati', u'kanak', u'impi']","[u'senario', u'forensik', u'arak', u'minum', u'terap', u'bedah', u'keluarga', u'mati', u'sepenuh', u'organ']"
"[u'senario', u'arak', u'terap', u'liquor', u'minum', u'mati', u'aman', u'saling', u'ppa', u'forensik']","[u'senario', u'arak', u'terap', u'forensik', u'mati', u'minum', u'liquor', u'aman', u'saling', u'bedah']","[u'senario', u'arak', u'minum', u'terap', u'forensik', u'ppa', u'liquor', u'leluasa', u'saling', u'mati']","[u'senario', u'mati', u'arak', u'terap', u'minum', u'forensik', u'saling', u'aman', u'liquor', u'gagal']","[u'senario', u'arak', u'terap', u'mati', u'minum', u'liquor', u'aman', u'forensik', u'ppa', u'saling']","[u'senario', u'arak', u'terap', u'minum', u'mati', u'ppa', u'liquor', u'leluasa', u'saling', u'forensik']","[u'senario', u'arak', u'terap', u'minum', u'liquor', u'mati', u'saling', u'aman', u'ppa', u'leluasa']","[u'senario', u'arak', u'terap', u'liquor', u'minum', u'mati', u'forensik', u'murah', u'aman', u'saling']","[u'senario', u'arak', u'mati', u'terap', u'minum', u'liquor', u'ppa', u'murah', u'forensik', u'aman']","[u'senario', u'arak', u'terap', u'liquor', u'mati', u'ppa', u'minum', u'forensik', u'leluasa', u'murah']","[u'senario', u'arak', u'terap', u'mati', u'minum', u'saling', u'liquor', u'aman', u'forensik', u'murah']","[u'senario', u'arak', u'terap', u'mati', u'minum', u'liquor', u'ppa', u'saling', u'aman', u'forensik']","[u'senario', u'terap', u'arak', u'minum', u'mati', u'ppa', u'aman', u'liquor', u'saling', u'forensik']","[u'senario', u'arak', u'terap', u'minum', u'mati', u'forensik', u'liquor', u'leluasa', u'ppa', u'murah']","[u'senario', u'arak', u'mati', u'terap', u'forensik', u'liquor', u'minum', u'murah', u'ppa', u'leluasa']","[u'senario', u'arak', u'minum', u'terap', u'liquor', u'mati', u'ppa', u'forensik', u'murah', u'aman']","[u'senario', u'arak', u'terap', u'minum', u'mati', u'forensik', u'bedah', u'ppa', u'liquor', u'saling']","[u'senario', u'arak', u'terap', u'minum', u'mati', u'liquor', u'forensik', u'aman', u'gagal', u'leluasa']","[u'senario', u'arak', u'terap', u'minum', u'mati', u'ppa', u'forensik', u'saling', u'aman', u'liquor']","[u'senario', u'arak', u'terap', u'minum', u'ppa', u'mati', u'forensik', u'liquor', u'leluasa', u'murah']"
"[u'senario', u'arak', u'murni', u'murah', u'leluasa', u'ajar', u'bedah', u'wakil', u'terap', u'sarawak']","[u'senario', u'arak', u'murni', u'bedah', u'forensik', u'agama', u'terap', u'wakil', u'keluarga', u'leluasa']","[u'senario', u'arak', u'leluasa', u'murni', u'murah', u'forensik', u'bedah', u'rentas', u'wakil', u'sarawak']","[u'senario', u'arak', u'murni', u'sarawak', u'murah', u'terap', u'agama', u'leluasa', u'mati', u'bedah']","[u'senario', u'arak', u'murni', u'terap', u'sarawak', u'murah', u'leluasa', u'agama', u'wakil', u'rentas']","[u'senario', u'arak', u'leluasa', u'murni', u'merosakkan', u'murah', u'terap', u'agama', u'sarawak', u'ajar']","[u'senario', u'arak', u'murni', u'terap', u'leluasa', u'murah', u'rentas', u'sarawak', u'ajar', u'agama']","[u'senario', u'arak', u'murah', u'sarawak', u'murni', u'leluasa', u'terap', u'forensik', u'bedah', u'agama']","[u'senario', u'arak', u'murah', u'bedah', u'murni', u'leluasa', u'agama', u'wakil', u'keluarga', u'mati']","[u'senario', u'arak', u'leluasa', u'murni', u'murah', u'terap', u'bedah', u'forensik', u'wakil', u'keluarga']","[u'senario', u'arak', u'murni', u'murah', u'agama', u'bedah', u'wakil', u'rentas', u'leluasa', u'ajar']","[u'senario', u'arak', u'leluasa', u'murni', u'terap', u'agama', u'murah', u'bedah', u'sarawak', u'wakil']","[u'senario', u'arak', u'murni', u'terap', u'murah', u'leluasa', u'bedah', u'agama', u'ajar', u'wakil']","[u'senario', u'arak', u'leluasa', u'murah', u'rentas', u'terap', u'forensik', u'mati', u'murni', u'agama']","[u'senario', u'arak', u'murah', u'forensik', u'leluasa', u'murni', u'bedah', u'keluarga', u'merosakkan', u'agama']","[u'senario', u'arak', u'murni', u'murah', u'rentas', u'leluasa', u'bedah', u'forensik', u'terap', u'bentang']","[u'senario', u'arak', u'murni', u'bedah', u'leluasa', u'terap', u'rentas', u'sarawak', u'agama', u'wakil']","[u'senario', u'arak', u'leluasa', u'murni', u'sarawak', u'terap', u'agama', u'bedah', u'murah', u'forensik']","[u'senario', u'arak', u'murni', u'agama', u'leluasa', u'forensik', u'sarawak', u'terap', u'ajar', u'keluarga']","[u'senario', u'arak', u'leluasa', u'murah', u'bedah', u'murni', u'forensik', u'wakil', u'rentas', u'terap']"
